"cow","variable","intercept"
"6050","median_meal_duration",4411.40153264256
"6055","median_meal_duration",3286.76786838443
"6062","median_meal_duration",3637.2284216772
"6067","median_meal_duration",3392.37483345953
"6068","median_meal_duration",4649.71066855417
"6069","median_meal_duration",4879.63644830735
"6079","median_meal_duration",3709.66586491229
"6084","median_meal_duration",4303.61892416952
"6086","median_meal_duration",5147.92009185225
"6087","median_meal_duration",4561.91190842689
"6090","median_meal_duration",3855.09462233702
